"date","count","mon_year"
2021-05-10,8,"05-21"
2021-05-11,7,"05-21"
2021-05-12,0,"05-21"
2021-05-13,9,"05-21"
2021-05-14,1.5,"05-21"
2021-05-15,11,"05-21"
2021-05-16,8.5,"05-21"
2021-05-17,5,"05-21"
2021-05-18,1,"05-21"
2021-05-19,6.5,"05-21"
2021-05-20,9.5,"05-21"
2021-05-21,7.5,"05-21"
2021-05-22,13.5,"05-21"
2021-05-23,33.5,"05-21"
2021-05-24,19.5,"05-21"
2021-05-25,4,"05-21"
2021-05-26,8.5,"05-21"
2021-05-27,1,"05-21"
2021-05-28,3.5,"05-21"
2021-05-29,28.5,"05-21"
2021-05-30,30,"05-21"
2021-05-31,16,"05-21"
2021-06-01,11.5,"06-21"
2021-06-02,0,"06-21"
2021-06-03,7,"06-21"
2021-06-04,11.5,"06-21"
2021-06-05,6.5,"06-21"
2021-06-06,5,"06-21"
2021-06-07,2.5,"06-21"
2021-06-08,0,"06-21"
2021-06-09,8,"06-21"
2021-06-10,1,"06-21"
2021-06-11,3,"06-21"
2021-06-12,8,"06-21"
2021-06-13,0.5,"06-21"
2021-06-14,2,"06-21"
2021-06-15,0,"06-21"
2021-06-16,13,"06-21"
2021-06-17,5.5,"06-21"
2021-06-18,0,"06-21"
2021-06-19,49,"06-21"
2021-06-20,20.5,"06-21"
2021-06-21,10,"06-21"
2021-06-22,8.5,"06-21"
2021-06-23,78,"06-21"
2021-06-24,340,"06-21"
2021-06-25,724,"06-21"
2021-06-26,1402,"06-21"
2021-06-27,1082,"06-21"
2021-06-28,411,"06-21"
2021-06-29,329.5,"06-21"
2021-06-30,625,"06-21"
2021-07-01,1341,"07-21"
2021-07-02,1475,"07-21"
2021-07-03,1335.5,"07-21"
2021-07-04,1419,"07-21"
2021-07-05,928.5,"07-21"
2021-07-06,902.5,"07-21"
2021-07-07,648.5,"07-21"
2021-07-08,759.5,"07-21"
2021-07-09,1015,"07-21"
2021-07-10,1698.5,"07-21"
2021-07-11,1473.5,"07-21"
2021-07-12,1148,"07-21"
2021-07-13,794,"07-21"
2021-07-14,914,"07-21"
2021-07-15,1049.5,"07-21"
2021-07-16,770.5,"07-21"
2021-07-17,1649,"07-21"
2021-07-18,1664.5,"07-21"
2021-07-19,1450,"07-21"
2021-07-20,1172,"07-21"
2021-07-21,1093,"07-21"
2021-07-22,1301.5,"07-21"
2021-07-23,1301,"07-21"
2021-07-24,1755.5,"07-21"
2021-07-25,1561,"07-21"
2021-07-26,1364.5,"07-21"
2021-07-27,1399.5,"07-21"
2021-07-28,1456.5,"07-21"
2021-07-29,1297.5,"07-21"
2021-07-30,1122.5,"07-21"
2021-07-31,1670.5,"07-21"
2021-08-01,1418,"08-21"
2021-08-02,1646.5,"08-21"
2021-08-03,1533.5,"08-21"
2021-08-04,1434.5,"08-21"
2021-08-05,1335,"08-21"
2021-08-06,991,"08-21"
2021-08-07,954,"08-21"
2021-08-08,1154,"08-21"
2021-08-09,1736,"08-21"
2021-08-10,1587.5,"08-21"
2021-08-11,1597.5,"08-21"
2021-08-12,1408,"08-21"
2021-08-13,1139,"08-21"
2021-08-14,1348.5,"08-21"
2021-08-15,1351.5,"08-21"
2021-08-16,1093.5,"08-21"
2021-08-17,1684.5,"08-21"
2021-08-18,1730,"08-21"
2021-08-19,1698.5,"08-21"
2021-08-20,644,"08-21"
2021-08-21,1807,"08-21"
2021-08-22,1204.5,"08-21"
2021-08-23,1616.5,"08-21"
2021-08-24,1792,"08-21"
2021-08-25,1751.5,"08-21"
2021-08-26,902.5,"08-21"
2021-08-27,1195,"08-21"
2021-08-28,1861.5,"08-21"
2021-08-29,1825.5,"08-21"
2021-08-30,1378.5,"08-21"
2021-08-31,739,"08-21"
2021-09-01,1706,"09-21"
2021-09-02,1807,"09-21"
2021-09-03,1603.5,"09-21"
2021-09-04,1064,"09-21"
2021-09-05,1423.5,"09-21"
2021-09-06,1671.5,"09-21"
2021-09-07,1462,"09-21"
2021-09-08,533.5,"09-21"
2021-09-09,566,"09-21"
2021-09-10,1096.5,"09-21"
2021-09-11,1199.5,"09-21"
2021-09-12,1282.5,"09-21"
2021-09-13,1549.5,"09-21"
2021-09-14,310,"09-21"
2021-09-15,953,"09-21"
2021-09-16,1102,"09-21"
2021-09-17,177,"09-21"
2021-09-18,674.5,"09-21"
2021-09-19,612.5,"09-21"
2021-09-20,629.5,"09-21"
2021-09-21,992.5,"09-21"
2021-09-22,414,"09-21"
2021-09-23,1009,"09-21"
2021-09-24,1308.5,"09-21"
2021-09-25,1584,"09-21"
2021-09-26,500.5,"09-21"
2021-09-27,290,"09-21"
2021-09-28,344.5,"09-21"
2021-09-29,292,"09-21"
